Representation,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,ROC_AUC_OVR
Tabular only,0.1146060417315478,0.18036751611381788,0.21395138084538848,0.09468710066998987,0.12307397892264887,0.5425642868931032
Tabular + review TF-IDF,0.8081594518841483,0.6100976739774152,0.5979658224452873,0.6007329673935417,0.8091539696577137,0.8747766171122772
